編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLNKNHPFFBJ78CA,福田段,196.06,都市：住
RPPUMLMKNHPFFBJ56CA,隘興段,25.45,都市：住
RPVPMLTKNHPFFBJ37CA,關農段,1606.52,都市：農
RPVPMLTKNHPFFBJ37CA,關農段,1655.85,都市：農
RPQUMLMKNHPFFBJ66CA,隘興段,25.43,都市：住
RPVPMLTKNHPFFBJ37CA,關農段,575.21,都市：農
RPSUMLMKNHPFFBJ86CA,隘興段,25.43,都市：住
RPWOMLSKNHPFFBJ27CA,台元段,30.19,都市：工
RPWOMLSKNHPFFBJ27CA,台元段,114.30,都市：工
RPOQMLMKNHPFFBJ68CA,隘興段,20.72,都市：住
RPPOMLLKNHPFFBJ48CA,莊敬段,25.39,都市：住
RPPOMLKLNHPFFBJ48CA,家興段,51.37,都市：住
RPRUMLMKNHPFFBJ76CA,隘興段,25.45,都市：住
RPTPMLKLNHPFFBJ98CA,永興段,61.06,都市：住
RPTQMLRLNHPFFBJ17CA,永興段,13.73,都市：住
RPRQMLRLNHPFFBJ96CA,永興段,19.28,都市：住
RPUQMLRLNHPFFBJ27CA,永興段,20.65,都市：住
RPSQMLRLNHPFFBJ07CA,永興段,13.73,都市：住
RPQQMLRLNHPFFBJ86CA,永興段,19.28,都市：住
RPRQMLLLNHPFFBJ98CA,莊敬段,26.77,都市：住
RPWQMLRLNHPFFBJ47CA,永興段,20.65,都市：住
RPVQMLRLNHPFFBJ37CA,永興段,20.65,都市：住
RPUPMLRLNHPFFBJ17CA,永興段,20.62,都市：住
RPVPMLRLNHPFFBJ27CA,永興段,13.73,都市：住
RPVOMLTLNHPFFBJ37CA,莊敬段,23.19,都市：住
RPXPMLRLNHPFFBJ47CA,永興段,13.73,都市：住
RPWPMLRLNHPFFBJ37CA,永興段,13.73,都市：住
RPOQMLRLNHPFFBJ66CA,永興段,19.28,都市：住
RPUOMLTLNHPFFBJ27CA,莊敬段,23.19,都市：住
RPOPMLTLNHPFFBJ76CA,莊敬段,22.81,都市：住
RPXOMLTLNHPFFBJ57CA,莊敬段,22.81,都市：住
RPQPMLTLNHPFFBJ96CA,莊敬段,23.19,都市：住
RPVPMLTLNHPFFBJ47CA,莊敬段,22.43,都市：住
RPSNMLLMNHPFFBJ88CA,縣愛段,163.58,都市：住
RPRPMLTLNHPFFBJ07CA,莊敬段,17.58,都市：住
RPWPMLTLNHPFFBJ57CA,莊敬段,28.10,都市：住
RPSOMLTLNHPFFBJ07CA,莊敬段,25.27,都市：住
