編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLPJOHPFFBK76CA,20,33.28,共有部分,鋼筋混凝土造,89年4月18日,十三層,
RPUNMLPJOHPFFBK76CA,20,94.74,住家用,鋼筋混凝土造,89年4月18日,十三層,二層
RPUNMLPJOHPFFBK76CA,20,2.45,共有部分,鋼筋混凝土造,89年4月18日,十三層,
RPUNMLPJOHPFFBK76CA,20,11.11,共有部分,鋼筋混凝土造,89年4月18日,十三層,
RPQNMLNKNHPFFBK78CA,26,78.69,住家用,鋼筋混凝土造,82年12月3日,十層,六層
RPQNMLNKNHPFFBK78CA,26,2.75,住家用,鋼筋混凝土造,82年12月3日,十層,
RPQNMLNKNHPFFBK78CA,26,8.94,住家用,鋼筋混凝土造,82年12月3日,十層,
RPTNMLNKNHPFFCK56CA,25,79.55,住家用,鋼筋混凝土造,84年3月30日,七層,五層
RPTNMLNKNHPFFCK56CA,25,33.28,共用部份,鋼筋混凝土造,84年3月30日,七層,
RPQNMLMKNHPFFDK88CA,42,132.82,住商用,見其他登記事項,67年6月6日,二層,一層 二層 騎樓
RPPNMLMKNHPFFDK78CA,7,83.42,見其他登記事項,鋼筋混凝土造,102年8月22日,十一層,二層
RPPNMLMKNHPFFDK78CA,7,22.57,共有部分,鋼筋混凝土造,102年8月22日,十一層,
RPPNMLMKNHPFFDK78CA,7,19.08,共有部分,鋼筋混凝土造,102年8月22日,十一層,
RPRNMLMKNHPFFBK78CA,2,191.13,住家用,鋼筋混凝土造,107年1月31日,三層,一層 二層 三層
RPROMLMKNHPFFDK09CA,5,156.67,見其他登記事項,鋼筋混凝土造,104年7月1日,十四層,十四層 見其他登記事項
RPROMLMKNHPFFDK09CA,5,47.93,共有部分,鋼筋混凝土造,104年7月1日,十四層,
RPROMLMKNHPFFDK09CA,5,3.10,共有部分,鋼筋混凝土造,104年7月1日,十四層,
RPROMLMKNHPFFDK09CA,5,27.09,共有部分,鋼筋混凝土造,104年7月1日,十四層,
RPWNMLPJOHPFFBK96CA,1,45.31,住家用,鋼筋混凝土造,108年3月18日,十層,七層
RPWNMLPJOHPFFBK96CA,1,45.31,住家用,鋼筋混凝土造,108年3月18日,十層,七層
RPWNMLPJOHPFFBK96CA,1,32.22,見其他登記事項,鋼筋混凝土造,108年3月18日,十層,
RPWNMLPJOHPFFBK96CA,1,32.22,見其他登記事項,鋼筋混凝土造,108年3月18日,十層,
RPRNMLMKNHPFFDK98CA,5,257.80,見其他登記事項,鋼筋混凝土造,104年4月23日,四層,一層 二層 三層 四層
SPROMLMKNHPFFDK56CA,5,156.50,見其他登記事項,鋼筋混凝土造,104年7月1日,十四層,十四層 見其他登記事項
SPROMLMKNHPFFDK56CA,5,3.10,共有部分,鋼筋混凝土造,104年7月1日,十四層,
SPROMLMKNHPFFDK56CA,5,27.09,共有部分,鋼筋混凝土造,104年7月1日,十四層,
SPROMLMKNHPFFDK56CA,5,47.87,共有部分,鋼筋混凝土造,104年7月1日,十四層,
RPPNMLNKNHPFFDK88CA,19,21.72,住家用,鋼筋混凝土造,90年6月29日,三層,三層
RPPNMLNKNHPFFDK88CA,19,6.35,見其他登記事項,鋼筋混凝土造,90年6月29日,三層,
RPRNMLMKNHPFFFK56CA,1,89.83,住家用,鋼筋混凝土造,107年12月6日,九層,七層
RPRNMLMKNHPFFFK56CA,1,24.05,見其他登記事項,鋼筋混凝土造,107年12月6日,九層,
RPRNMLMKNHPFFFK56CA,1,12.07,見其他登記事項,鋼筋混凝土造,107年12月6日,九層,
RPPOMLNKNHPFFDK98CA,4,104.79,見其他登記事項,鋼筋混凝土造,105年8月12日,十四層,三層
RPPOMLNKNHPFFDK98CA,4,77.85,共有部分,鋼筋混凝土造,105年8月12日,十四層,
RPSNMLOKNHPFFEK76CA,24,180.70,住家用,鋼筋混凝土造,85年1月11日,四層,一層 二層 三層 四層
RPSNMLOKNHPFFEK76CA,24,27.65,見其他登記事項,鋼筋混凝土造,85年1月11日,地下層,
RPQNMLMKNHPFFFK09CA,1,89.82,住家用,鋼筋混凝土造,107年12月6日,九層,六層
RPQNMLMKNHPFFFK09CA,1,54.98,見其他登記事項,鋼筋混凝土造,107年12月6日,九層,
RPQNMLMKNHPFFFK09CA,1,12.07,見其他登記事項,鋼筋混凝土造,107年12月6日,九層,
RPTNMLOKNHPFFFK96CA,14,176.03,住家用,見其他登記事項,95年7月27日,三層,一層 二層 三層
RPPOMLNKNHPFFFK56CA,5,163.68,工業用,鋼筋混凝土造,104年9月4日,一層,一層
SPSNMLOKNHPFFFK96CA,25,135.22,住家用,鋼筋混凝土造,84年7月14日,四層,二層
SPSNMLOKNHPFFFK96CA,25,8.89,住家用,鋼筋混凝土造,84年7月14日,四層,
RPSNMLOKNHPFFFK86CA,25,123.27,住家用,鋼筋混凝土造,84年7月14日,四層,一層
RPSNMLOKNHPFFFK86CA,25,8.89,住家用,鋼筋混凝土造,84年7月14日,四層,
RPTNMLPKNHPFFFK07CA,2,82.24,見其他登記事項,鋼筋混凝土造,107年8月9日,十三層,七層
RPTNMLPKNHPFFFK07CA,2,65.84,見其他登記事項,鋼筋混凝土造,107年8月9日,十三層,
RPXNMLNKNHPFFFK27CA,14,202.29,住家用,見其他登記事項,95年6月1日,四層,一層 二層 三層 四層
RPPNMLTKNHPFFFK07CA,5,330.30,見其他登記事項,鋼筋混凝土造,104年4月21日,五層,一層 二層 三層 四層 五層
RPUNMLTKNHPFFFK57CA,4,98.69,見其他登記事項,鋼筋混凝土造,105年1月19日,五層,五層
RPUNMLTKNHPFFFK57CA,4,45.24,見其他登記事項,鋼筋混凝土造,105年1月19日,五層,
RPXNMLPLNHPFFDK37CA,26,271.69,住家用,鋼筋混凝土造,83年4月29日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPSNMLNKNHPFFFK76CA,9,255.88,見其他登記事項,見其他登記事項,100年1月31日,三層,一層 二層 三層 見其他登記事項
RPWNMLMLNHPFFCK86CA,42,30.84,農舍,見其他登記事項,67年6月5日,一層,一層
RPUNMLOKNHPFFBK76DA,29,106.04,住家用,鋼筋混凝土造,80年1月15日,,三層
RPUNMLOKNHPFFBK76DA,29,23.56,見其他登記事項,鋼筋混凝土造,80年1月15日,,
RPUNMLOKNHPFFBK76DA,29,.71,見其他登記事項,鋼筋混凝土造,80年1月15日,,
RPPNMLSKNHPFFCK66CA,2,171.00,見其他登記事項,鋼筋混凝土造,107年7月17日,三層,一層 二層 三層 見其他登記事項
RPPNMLTKNHPFFBK66CA,21,219.34,商業用,鋼筋混凝土造,88年1月26日,六層,三層
RPPNMLTKNHPFFBK66CA,21,219.34,商業用,鋼筋混凝土造,88年1月26日,六層,四層
RPPNMLTKNHPFFBK66CA,21,201.65,見其他登記事項,鋼筋混凝土造,88年1月26日,六層,
RPPNMLTKNHPFFBK66CA,21,10.21,見其他登記事項,鋼筋混凝土造,88年1月26日,,
RPPNMLTKNHPFFBK66CA,21,29.06,見其他登記事項,鋼筋混凝土造,88年1月26日,六層,
RPQNMLRKNHPFFBK56CA,16,125.02,住家用,鋼筋混凝土造,93年5月21日,七層,七層
RPQNMLRKNHPFFBK56CA,16,13.97,停車空間,鋼筋混凝土造,93年5月21日,七層,
RPQNMLRKNHPFFBK56CA,16,58.94,共有部分,鋼筋混凝土造,93年5月21日,七層,
RPXNMLLLNHPFFBK76CA,3,182.87,住家用,鋼筋混凝土造,106年1月23日,三層,一層 二層 三層 屋頂突出物
RPSOMLRLNHPFFDK17CA,36,145.04,住商用,鋼筋混凝土加強磚造,73年8月15日,二層,一層 二層 騎樓
RPQNMLLLNHPFFDK88CA,37,92.00,住家用,加強磚造,71年11月26日,二層,一層 二層 騎樓
RPWNMLPLNHPFFDK27CA,16,15.79,住家用,鋼筋混凝土造,93年6月23日,三層,一層
RPWNMLPLNHPFFDK27CA,16,4.62,見其他登記事項,鋼筋混凝土造,93年6月23日,三層,
RPSNMLKLNHPFFDK98CA,4,320.13,見其他登記事項,鋼筋混凝土造,105年5月12日,四層,一層 二層 三層 四層 地下一層
RPSNMLKLNHPFFDK98CA,4,39.48,共有部分,鋼筋混凝土造,105年5月12日,五層,
RPQOMLNKNHPFFDK09CA,3,65.70,住家用,鋼筋混凝土造,106年8月25日,九層,二層
RPQOMLNKNHPFFDK09CA,3,48.96,共有部分,鋼筋混凝土造,106年8月25日,十層,
RPQOMLNKNHPFFDK09CA,3,13.57,共有部分,鋼筋混凝土造,106年8月25日,十層,
RPQOMLNKNHPFFDK09CA,3,5.18,見其他登記事項,鋼筋混凝土造,106年8月25日,十層,一層
RPQOMLNKNHPFFDK09CA,3,.67,共有部分,鋼筋混凝土造,106年8月25日,十層,
RPPNMLQLNHPFFCK56CA,24,101.83,見其他登記事項,鋼筋混凝土造,85年7月1日,十三層,八層
RPPNMLQLNHPFFCK56CA,24,15.53,見其他登記事項,鋼筋混凝土造,85年7月1日,十三層,
RPTNMLOKNHPFFDK76CA,41,183.63,住家用,加強磚造,68年8月10日,二層,一層 二層 屋頂突出物
RPOOMLNKNHPFFDK88CA,23,247.84,住家用,鋼筋混凝土造,86年4月7日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPRNMLRLNHPFFFK17CA,7,237.19,農舍,木造,102年3月18日,二層,一層 二層
RPPNMLPKNHPFFDK09CA,12,182.36,住家用,鋼筋混凝土造,97年1月4日,三層,一層 二層 三層 屋頂突出物
RPVNMLOKNHPFFDK96CA,43,162.00,住家用,加強磚造,66年7月15日,二層,一層 二層 騎樓
RPRNMLOKNHPFFDK56CA,7,91.17,住家用,鋼筋混凝土造,102年6月13日,六層,二層
RPRNMLOKNHPFFDK56CA,7,39.44,共有部分,鋼筋混凝土造,102年6月13日,六層,
RPOOMLNKNHPFFFK09CA,1,96.26,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,五層
RPOOMLNKNHPFFFK09CA,1,54.87,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,
RPOOMLNKNHPFFFK09CA,1,21.57,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,
RPOOMLNKNHPFFFK09CA,1,3.50,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,一層
RPOOMLNKNHPFFFK09CA,1,.73,見其他登記事項,鋼筋混凝土造,108年4月16日,十四層,
RPSNMLPKNHPFFFK96CA,2,60.85,商業用,鋼筋混凝土造,106年11月15日,十四層,一層 見其他登記事項
RPSNMLPKNHPFFFK96CA,2,15.68,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPSNMLPKNHPFFFK96CA,2,49.38,見其他登記事項,鋼筋混凝土造,106年11月15日,十四層,
RPQNMLPKNHPFFEK66CA,24,236.22,住家用,鋼筋混凝土造,84年12月16日,三層,一層 二層 三層 屋頂突出物
RPPNMLPKNHPFFFK66CA,39,114.81,住家用,加強磚造,70年7月10日,二層,一層 二層
RPUNMLOKNHPFFFK07CA,1,47.70,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,十三層
RPUNMLOKNHPFFFK07CA,1,47.70,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,十三層
RPUNMLOKNHPFFFK07CA,1,26.78,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
RPUNMLOKNHPFFFK07CA,1,10.22,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
RPUNMLOKNHPFFFK07CA,1,26.78,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
RPUNMLOKNHPFFFK07CA,1,10.22,見其他登記事項,鋼筋混凝土造,108年1月14日,十五層,
RPQNMLOKNHPFFFK66CA,1,101.53,見其他登記事項,鋼筋混凝土造,108年3月26日,五層,二層
RPQNMLOKNHPFFFK66CA,1,25.22,見其他登記事項,鋼筋混凝土造,108年3月26日,五層,
