編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLKNHPFFAN76CA,44,78.40,住家用,鋼筋混凝土加強磚造,65年5月11日,二層,一層 二層
RPPNMLRKNHPFFAN66CA,45,84.99,住家用,加強磚造,63年9月19日,二層,一層 二層
RPQOMLKLNHPFFAN88CA,2,207.59,見其他登記事項,鋼筋混凝土造,107年8月10日,四層,一層 二層 三層 四層 屋頂突出物
RPVRMLOKNHPFFAN37CA,39,117.08,住商用,加強磚造,70年1月16日,二層,一層 二層
RPSNMLOLNHPFFAN76CA,44,115.92,住家用,加強磚造,64年11月15日,二層,一層 二層
RPQNMLPKNHPFFAN56CA,2,115.76,見其他登記事項,鋼筋混凝土造,107年9月20日,十五層,六層
RPQNMLPKNHPFFAN56CA,2,84.60,見其他登記事項,鋼筋混凝土造,107年9月20日,十五層,
RPPNMLLMNHPFFAN88CA,34,156.52,工業用,鋼造,74年11月25日,一層,一層
RPTNMLPKNHPFFBN96CA,40,164.40,住商用,鋼筋混凝土加強磚造,69年7月25日,三層,一層 二層 三層 騎樓
RPQOMLOJOHPFFAN56CA,26,168.69,見其他登記事項,鋼筋混凝土造,82年12月10日,三層,一層 二層 三層
RPQNMLOJOHPFFAN09CA,40,98.60,住家用,鋼筋混凝土造,69年9月18日,五層,五層
RPQNMLOJOHPFFAN09CA,40,18.51,住家用,鋼筋混凝土造,69年9月18日,五層,
RPPOMLSLNHPFFBN07CA,39,101.20,住家用,加強磚造,69年12月20日,二層,一層 二層 騎樓
RPSOMLQLNHPFFBN17CA,,167.04,見其他登記事項,鋼筋混凝土造,108年12月23日,三層,一層 二層 三層 見其他登記事項
RPUNMLLKNHPFFCN76CA,18,159.74,住家用,鋼筋混凝土造,91年7月8日,三層,一層 二層 三層
RPRNMLPJOHPFFDN96CA,2,90.52,見其他登記事項,鋼筋混凝土造,106年11月22日,十五層,六層
RPRNMLPJOHPFFDN96CA,2,73.36,見其他登記事項,鋼筋混凝土造,106年11月22日,十五層,
RPRNMLPJOHPFFCN86CA,27,175.45,住家用,鋼筋混凝土造,82年5月4日,三層,一層 二層 三層 見其他登記事項
RPPOMLNKNHPFFDN66CA,12,74.57,住家用,鋼筋混凝土造,97年4月3日,七層,六層 機械房
RPPOMLNKNHPFFDN66CA,12,23.45,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPPOMLNKNHPFFDN66CA,12,15.46,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPPOMLNKNHPFFDN66CA,12,73.47,住家用,鋼筋混凝土造,97年4月3日,七層,六層 機械房
RPPOMLNKNHPFFDN66CA,12,23.45,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPPOMLNKNHPFFDN66CA,12,15.46,見其他登記事項,鋼筋混凝土造,97年4月3日,七層,
RPVNMLLKNHPFFDN96CA,4,223.70,見其他登記事項,鋼筋混凝土造,105年6月27日,五層,一層 二層 三層 四層 五層
RPSNMLNKNHPFFEN96CA,,166.69,住家用,鋼筋混凝土造,108年11月1日,三層,一層 二層 三層 見其他登記事項
RPQNMLMLNHPFFDN66CA,57,67.65,住商用,鋼筋混凝土加強磚造,51年12月30日,二層,一層 二層 騎樓
RPQNMLMLNHPFFDN66CA,44,84.87,住家用,鋼筋混凝土加強磚造,65年5月8日,三層,三層
RPQNMLLJOHPFFDN09CA,8,329.86,見其他登記事項,鋼筋混凝土造,101年3月13日,四層,一層 二層 三層 四層
RPSNMLNKNHPFFFN07CA,1,226.13,見其他登記事項,鋼筋混凝土造,108年8月7日,四層,一層 二層 三層 四層
RPUNMLOKNHPFFFN37CA,1,182.40,住宅,鋼筋混凝土造,108年5月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLOKNHPFFFN27CA,1,169.25,住宅,鋼筋混凝土造,108年9月10日,三層,一層 二層 三層 見其他登記事項
RPTNMLPKNHPFFHN57CA,,255.94,見其他登記事項,鋼筋混凝土造,108年12月6日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLPKNHPFFHN47CA,,255.94,見其他登記事項,鋼筋混凝土造,108年12月6日,四層,一層 二層 三層 四層 屋頂突出物
RPVNMLPKNHPFFHN77CA,,249.78,見其他登記事項,鋼筋混凝土造,108年12月6日,四層,一層 二層 三層 四層 屋頂突出物
RPUOMLNKNHPFFAN96DA,44,87.78,住家用,鋼筋混凝土加強磚造,64年12月27日,三層,一層 二層 三層
RPWNMLLKNHPFFHN47CA,29,157.88,住家用,鋼筋混凝土造,80年1月31日,三層,一層 二層 三層 騎樓
RPTNMLNJOHPFFHN37CA,,190.73,見其他登記事項,鋼筋混凝土造,109年2月20日,三層,一層 二層 三層 屋頂突出物
RPTNMLLJOHPFFCN76DA,12,238.14,住家用,鋼筋混凝土造,97年1月18日,四層,一層 二層 三層 四層
RPUNMLPKNHPFFHN67CA,,255.94,見其他登記事項,鋼筋混凝土造,108年12月6日,四層,一層 二層 三層 四層 屋頂突出物
RPVNMLOKNHPFFHN67CA,23,71.91,見其他登記事項,鋼筋混凝土造,85年12月10日,四層,一層 二層 三層 四層
RPTNMLSKNHPFFGN77CA,39,108.61,住家用,見其他登記事項,69年12月30日,二層,一層 二層 騎樓
RPRNMLKLNHPFFFN76CA,1,314.04,住宅,鋼筋混凝土造,108年7月31日,四層,一層 二層 三層 四層 見其他登記事項
RPXNMLOKNHPFFEN57CA,,166.69,住家用,鋼筋混凝土造,108年11月1日,三層,一層 二層 三層 見其他登記事項
RPROMLMLNHPFFDN86CA,1,161.51,見其他登記事項,鋼筋混凝土造,108年8月27日,三層,一層 二層 三層 屋頂突出物
RPSNMLMKNHPFFEN86CA,39,92.40,住商用,鋼筋混凝土加強磚造,69年12月30日,二層,一層 二層 騎樓
RPQNMLTKNHPFFDN27CA,1,167.23,見其他登記事項,鋼筋混凝土造,108年4月18日,三層,一層 二層 三層 見其他登記事項
RPRNMLPKNHPFFDN96CA,6,262.09,見其他登記事項,鋼筋混凝土造,103年9月3日,四層,一層 二層 三層 四層
RPRNMLPKNHPFFDN96CA,6,1.26,見其他登記事項,鋼筋混凝土造,103年9月3日,二層,
RPXNMLLLNHPFFDN27CA,1,91.29,見其他登記事項,鋼筋混凝土造,108年5月7日,十三層,二層
RPXNMLLLNHPFFDN27CA,1,50.91,見其他登記事項,鋼筋混凝土造,108年5月7日,十三層,
RPXNMLLLNHPFFDN27CA,1,22.19,見其他登記事項,鋼筋混凝土造,108年5月7日,十三層,
RPPNMLRKNHPFFDN96CA,1,230.40,見其他登記事項,鋼筋混凝土造,108年10月9日,四層,一層 二層 三層 四層
RPRNMLNKNHPFFDN76CA,25,95.70,住家用,鋼筋混凝土造,84年3月20日,二層,一層 二層
RPWNMLLLNHPFFDN17CA,1,92.10,見其他登記事項,鋼筋混凝土造,108年5月7日,十三層,十三層
RPWNMLLLNHPFFDN17CA,1,51.12,見其他登記事項,鋼筋混凝土造,108年5月7日,十三層,
RPWNMLLLNHPFFDN17CA,1,22.38,見其他登記事項,鋼筋混凝土造,108年5月7日,十三層,
RPUNMLNKNHPFFEN17CA,35,93.74,住家用,鋼筋混凝土加強磚造,73年12月28日,二層,一層 二層
RPWNMLMKNHPFFDN17CA,24,111.42,住家用,鋼筋混凝土造,85年9月26日,三層,一層 二層 三層
RPVOMLQLNHPFFBN47CA,,159.44,見其他登記事項,鋼筋混凝土造,108年12月23日,三層,一層 二層 三層 見其他登記事項
RPTNMLSLNHPFFBN37CA,,159.44,見其他登記事項,鋼筋混凝土造,108年12月23日,三層,一層 二層 三層 見其他登記事項
RPSNMLMLNHPFFAN56CA,40,80.34,住家用,鋼筋混凝土造,68年12月7日,四層,三層
RPQNMLSJOHPFFBN96CA,,207.70,見其他登記事項,鋼筋混凝土造,108年11月22日,四層,一層 二層 三層 四層
RPQNMLSKNHPFFAN86CA,38,11.77,見其他登記事項,鋼筋混凝土造,71年7月9日,七層,
RPQNMLSKNHPFFAN86CA,38,73.16,住商用,鋼筋混凝土造,71年7月9日,七層,一層
RPQNMLSKNHPFFAN86CA,38,10.70,見其他登記事項,鋼筋混凝土造,71年7月9日,七層,
RPQNMLSKNHPFFAN86CA,38,73.16,見其他登記事項,鋼筋混凝土造,71年7月9日,七層,地下層
RPRNMLOLNHPFFAN66CA,26,98.45,住家用,鋼筋混凝土造,83年8月23日,七層,一層
RPRNMLOLNHPFFAN66CA,26,6.31,見其他登記事項,鋼筋混凝土造,83年8月23日,八層,
RPRNMLOLNHPFFAN66CA,26,22.61,見其他登記事項,鋼筋混凝土造,83年8月23日,八層,
RPURMLOKNHPFFAN27CA,29,95.66,住家用,鋼筋混凝土造,80年8月16日,九層,九層
RPVNMLTKNHPFFAN47CA,32,74.02,住家用,鋼筋混凝土造,77年1月13日,七層,六層
RPRNMLPKNHPFFAN66CA,,154.84,住家用,鋼筋混凝土造,108年12月12日,四層,一層 二層 三層 四層
RPVOMLKLNHPFFAN76CA,39,122.94,住商用,鋼筋混凝土造,70年5月21日,五層,一層 二層 騎樓 地下層
