編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQNMLPKNHPFFAN56CA,坡道平面,0,
RPUNMLLKNHPFFCN76CA,一樓平面,0,
RPRNMLPJOHPFFDN96CA,坡道平面,0,
RPXNMLLLNHPFFDN27CA,坡道平面,1100000,30.55
RPWNMLLLNHPFFDN17CA,坡道平面,1100000,30.55
RPRNMLOLNHPFFAN66CA,坡道機械,800000,
RPPNMLLKOHPFFDN09CA,坡道平面,0,
RPTPMLSJOHPFFAN37CA,坡道平面,0,
RPSNMLPKNHPFFAN76CA,坡道平面,0,
RPTNMLKLNHPFFAN09CA,坡道平面,0,
RPSNMLTKNHPFFAN17CA,坡道平面,0,
RPPNMLSJOHPFFAN76CA,坡道機械,0,
RPTNMLLLNHPFFAN56CA,坡道平面,0,
RPUNMLPKOHPFFDN37CA,坡道機械,0,
RPWNMLLJOHPFFDN07CA,坡道平面,0,
RPVNMLLKOHPFFAN76CA,坡道平面,0,
RPRNMLRLNHPFFHN67CA,一樓平面,0,
