編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWNMLMKNHPFFAO96CA,民主段一小段,17.62,都市：商
RPOOMLLKNHPFFAO78CA,唐高段,24.88,都市：住
RPOOMLLKNHPFFAO78CA,成德段,1.04,都市：住
RPOOMLLKNHPFFAO78CA,成德段,.11,都市：住
RPSQMLMKNHPFFAO86CA,麗園段,69.34,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSQMLMKNHPFFAO86CA,麗園段,1023.05,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUPMLMKNHPFFAO96CA,民主段,16.13,都市：住
RPXOMLMKNHPFFAO17CA,國道段,20.90,都市：商
RPRRMLPKNHPFFAO17CA,香村段,176.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPKNHPFFAO17CA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPKNHPFFAO17CA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPKNHPFFAO17CA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPKNHPFFAO17CA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPKNHPFFAO17CA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRRMLPKNHPFFAO17CA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTRMLPKNHPFFAO37CA,香村段,147.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTRMLPKNHPFFAO37CA,香村段,25.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTRMLPKNHPFFAO37CA,香村段,10.63,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTRMLPKNHPFFAO37CA,香村段,6.64,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTRMLPKNHPFFAO37CA,香村段,5.55,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTRMLPKNHPFFAO37CA,香村段,5.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPTRMLPKNHPFFAO37CA,香村段,22.37,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPOMLMKNHPFFAO98CA,成功段,.49,都市：住
