鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市西大路648巷1~30號,0.0,商,,,1090507,土地0建物1車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830723,54.64,1,0,1,有,無,有,9000,165,,0.0,0,,RPQOMLLKNHPFFAO56CC
新竹市,建物,新竹市新竹市食品路127巷1~30號,0.0,住,,,1090418,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741030,111.03,3,2,2,有,無,無,15000,135,,0.0,0,,RPWOMLLKNHPFFAO17CC
新竹市,建物,新竹市新竹市南門街61~90號,0.0,商,,,1090425,土地0建物0車位0,一層,2,店面(店鋪),商業用,磚造,,74.0,0,0,0,無,無,無,25000,338,,0.0,0,,RPXOMLLKNHPFFAO27CC
新竹市,房地(土地+建物),新竹市新竹市內湖路1~30號,371.09,,特定農業區,農牧用地,1090428,土地1建物1車位0,見其他登記事項,3,農舍,農舍,鋼筋混凝土造,0821122,346.99,4,2,3,有,無,無,50000,,,0.0,0,,RPPPMLLKNHPFFAO56CC
新竹市,建物,新竹市新竹市東南街271~300號,0.0,住,,,1090428,土地0建物0車位0,一層,2,店面(店鋪),住家用,加強磚造,,62.48,0,0,0,無,無,無,18000,288,,0.0,0,,RPQPMLLKNHPFFAO66CC
新竹市,建物,新竹市新竹市牛埔路160巷1~30號,0.0,住,,,1090420,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811014,93.09,2,2,2,有,有,有,12500,134,,0.0,0,,RPTOMLMKNHPFFAO96CC
新竹市,建物,新竹市新竹市龍山東路61~90號,0.0,商,,,1090416,土地0建物1車位0,二十六層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050127,165.2,3,2,2,有,有,有,27000,163,,0.0,0,,RPVOMLNKNHPFFAO27CC
新竹市,建物,新竹市新竹市建功一路51巷1~30號,0.0,住,,,1090429,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730523,75.9,4,1,2,有,無,有,15000,198,,0.0,0,租金含網路費,RPPNMLOKNHPFFAO66CC
新竹市,建物,新竹市新竹市北大路1~30號,0.0,商,,,1090512,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0850131,74.93,2,2,1,有,有,有,15000,200,,0.0,0,,RPXNMLOKNHPFFAO47CC
新竹市,建物,新竹市新竹市仁德街61~90號,0.0,商,,,1090513,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,61.7,3,2,1,有,無,有,10000,162,,0.0,0,,RPOOMLOKNHPFFAO66CC
新竹市,建物,新竹市新竹市建中路91~120號,0.0,住,,,1090426,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,221.0,4,2,2,有,有,有,25000,113,坡道平面,0.0,0,租金含管理費。車位面積無法分算。,RPPOMLOKNHPFFAO76CC
新竹市,建物,新竹市新竹市東區建美路58巷12弄1~30號,0.0,住,,,1090423,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),國民住宅,加強磚造,,52.29,2,2,1,有,無,有,12000,229,,0.0,0,,RPQQMLTKNHPFFAO57CC
新竹市,建物,新竹市新竹市光復路一段30巷61~90號,0.0,住,,,1090430,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0830314,101.81,3,2,2,有,有,有,13000,128,,0.0,0,租金含管理費。,RPSRMLTKNHPFFAO87CC
新竹市,建物,新竹市新竹市中山路241~270號,0.0,商,,,1090518,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0841223,182.64,4,3,3,有,有,有,16200,89,,0.0,0,,RPSPMLKLNHPFFAO86CC
