編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPWOMLLKNHPFFAO17CC,東山段二小段,.00,都市：住
RPQPMLLKNHPFFAO66CC,東山段二小段,.00,都市：住
RPPPMLLKNHPFFAO56CC,湖港段,371.09,非都市：特定農業區 ; 非都市編定：農牧用地
RPQOMLLKNHPFFAO56CC,民富段,.00,都市：商
RPOOMLOKNHPFFAO66CC,民富段,.00,都市：商
RPTOMLMKNHPFFAO96CC,和平段,.00,都市：住
RPXOMLLKNHPFFAO27CC,南門段一小段,.00,都市：商
RPTOMLMKNHPFFAO96CC,和平段,.00,都市：住
RPXOMLLKNHPFFAO27CC,南門段一小段,.00,都市：商
RPVOMLNKNHPFFAO27CC,光武段,.00,都市：商
RPPNMLOKNHPFFAO66CC,光復段,.00,都市：住
RPXNMLOKNHPFFAO47CC,光華段,.00,都市：商
RPPOMLOKNHPFFAO76CC,光復段,.00,都市：住
RPQQMLTKNHPFFAO57CC,光復段,.00,都市：住
RPSPMLKLNHPFFAO86CC,中雅段,.00,都市：商
RPSRMLTKNHPFFAO87CC,關東段,.00,都市：住
RPSRMLTKNHPFFAO87CC,關東段,.00,都市：其他
RPSRMLTKNHPFFAO87CC,關東段,.00,都市：住
