編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQOMLMKNHPFFAP56CA,4,97.16,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,四層
RPQOMLMKNHPFFAP56CA,4,45.78,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
RPOOMLOKNHPFFDP86CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPOOMLOKNHPFFDP86CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPOOMLOKNHPFFDP86CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPQNMLOKNHPFFAP66CA,26,85.37,住家用,鋼筋混凝土造,83年6月15日,十一層,四層
RPQNMLOKNHPFFAP66CA,26,10.13,共同部份,鋼筋混凝土造,83年6月15日,,
RPQNMLOKNHPFFAP66CA,26,11.60,共同部份,鋼筋混凝土造,83年6月15日,十一層,
RPQOMLOKNHPFFDP07CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPQOMLOKNHPFFDP07CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPQOMLOKNHPFFDP07CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPPOMLOKNHPFFDP96CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPPOMLOKNHPFFDP96CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPPOMLOKNHPFFDP96CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPROMLOKNHPFFDP17CA,1,9.16,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,四層
RPROMLOKNHPFFDP17CA,1,4.02,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPROMLOKNHPFFDP17CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPUNMLNKNHPFFBP07CA,,233.25,見其他登記事項,鋼筋混凝土造,108年12月9日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKNHPFFEP37CA,29,182.36,住家用,鋼筋混凝土造,80年10月5日,三層,一層 二層 三層 電梯樓梯間
RPXNMLSJOHPFFDP08CA,28,333.65,住家用,鋼筋混凝土造,81年6月20日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPTNMLLLNHPFFFP27CA,38,116.94,住商用,加強磚造,71年3月8日,二層,一層 二層 騎樓
RPUOMLTLNHPFFAP87DA,27,90.24,住家用,鋼筋混凝土造,82年2月18日,七層,七層
RPUOMLTLNHPFFAP87DA,27,27.89,共同部份,鋼筋混凝土造,82年2月18日,七層,
RPQNMLKLNHPFFBP66EA,26,87.35,住家用,鋼筋混凝土造,82年12月15日,七層,七層
RPQNMLKLNHPFFBP66EA,26,10.02,共有部份,鋼筋混凝土造,82年12月15日,,
RPQNMLKLNHPFFBP66EA,26,25.23,共有部份,鋼筋混凝土造,82年12月15日,,
RPQNMLOKNHPFFBP96EA,38,196.47,住商用,鋼筋混凝土造,71年4月5日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPXNMLPKNHPFFCP77DA,3,201.09,住家用,鋼筋混凝土造,106年3月27日,三層,見其他登記事項
RPQNMLOKNHPFFBP86DA,37,144.59,見其他登記事項,鋼筋混凝土加強磚造,72年1月20日,二層,一層 二層
RPVNMLOKNHPFFAP27DA,,198.37,見其他登記事項,鋼筋混凝土造,108年10月4日,四層,一層 二層 三層 四層
RPTNMLMKOHPFFDP17CA,1,9.29,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,五層
RPTNMLMKOHPFFDP17CA,1,4.07,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPTNMLMKOHPFFDP17CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPSNMLOKNHPFFFP37CA,30,101.36,見其他登記事項,加強磚造,79年6月13日,二層,見其他登記事項
RPUOMLOKNHPFFDP47CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPUOMLOKNHPFFDP47CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPUOMLOKNHPFFDP47CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPRNMLSKNHPFFDP47CA,25,161.55,住家用,鋼筋混凝土造,83年12月19日,三層,一層 二層 三層
RPTOMLOKNHPFFDP37CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,六層
RPTOMLOKNHPFFDP37CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPTOMLOKNHPFFDP37CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPPNMLOKNHPFFDP86CA,1,224.90,見其他登記事項,鋼筋混凝土造,108年10月2日,三層,一層 二層 三層 見其他登記事項
RPOOMLQLNHPFFAP86CA,3,272.00,住家用,鋼筋混凝土造,106年6月5日,四層,一層 二層 三層 四層
RPWNMLTLNHPFFBP97CA,43,113.85,住家用,鋼筋混凝土加強磚造,65年11月1日,二層,一層 二層 騎樓
RPVNMLKLNHPFFAP86CA,13,178.25,住家用,鋼筋混凝土造,96年2月8日,三層,一層 二層 三層
RPPOMLOKNHPFFAP66CA,9,232.98,住商用,鋼筋混凝土造,100年1月10日,三層,一層 二層 三層
RPWNMLPKNHPFFAP37CA,,287.89,見其他登記事項,鋼筋混凝土造,108年10月1日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLPKNHPFFAP86CA,,420.04,住家用,鋼筋混凝土造,108年10月4日,四層,一層 二層 三層 四層
RPXNMLMKNHPFFAP17CA,21,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層
RPXNMLMKNHPFFAP17CA,21,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPXNMLMKNHPFFAP17CA,21,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPPNMLPKNHPFFBP76CA,30,259.54,住家用,鋼筋混凝土造,78年10月20日,三層,一層 二層 三層 電梯樓梯間
RPPNMLSKNHPFFBP07CA,,165.46,住家用,鋼筋混凝土造,109年1月2日,三層,一層 二層 三層
RPQNMLNJOHPFFCP76CA,1,154.82,住家用,鋼筋混凝土造,108年9月23日,三層,一層 二層 三層
RPWOMLOKNHPFFDP67CA,1,9.01,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPWOMLOKNHPFFDP67CA,1,3.94,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPWOMLOKNHPFFDP67CA,1,.37,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPVOMLOKNHPFFDP57CA,1,9.14,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,七層
RPVOMLOKNHPFFDP57CA,1,3.99,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPVOMLOKNHPFFDP57CA,1,.38,見其他登記事項,鋼筋混凝土造,108年4月9日,七層,
RPSNMLPKNHPFFCP17CA,27,189.63,住家用,鋼筋混凝土造,82年8月20日,三層,一層 二層 三層 電梯樓梯間
RPPNMLMLNHPFFCP66CA,24,91.93,住家用,鋼筋混凝土造,84年12月20日,八層,七層
RPPNMLMLNHPFFCP66CA,24,9.65,共有部份,鋼筋混凝土造,84年12月20日,八層,
RPPNMLMLNHPFFCP66CA,24,.72,共有部份,鋼筋混凝土造,84年12月20日,,
RPPNMLMLNHPFFCP66CA,24,10.06,共有部份,鋼筋混凝土造,84年12月20日,,
RPRNMLSJOHPFFDP47CA,,155.88,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPQNMLPJOHPFFDP07CA,,130.39,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPSNMLSJOHPFFDP57CA,,140.16,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
RPPNMLPKNHPFFDP96CA,28,168.63,住家用,鋼筋混凝土造,81年5月27日,三層,一層 二層 三層
RPPNMLOKNHPFFCP86DA,3,222.22,住家用,鋼筋混凝土造,106年6月15日,三層,一層 二層 三層
RPOOMLOKNHPFFAP66DA,,198.17,見其他登記事項,鋼筋混凝土造,108年10月4日,四層,一層 二層 三層 四層
RPQNMLTKNHPFFAP37EA,25,213.88,住家用,鋼筋混凝土造,84年5月5日,四層,一層 二層 三層 四層 騎樓
RPTNMLPKNHPFFEP57DA,45,146.00,住商用,加強磚造,64年6月24日,三層,一層 二層 三層 騎樓
RPTNMLSJOHPFFDP67CA,,155.88,住家用,鋼筋混凝土造,109年2月12日,三層,一層 二層 三層
