鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
義竹鄉,土地,五間厝段中厝小段301~330地號,1482.13,,特定農業區,農牧用地,1090416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1012,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLMKNHPFFBQ86CA
東石鄉,土地,鰲鼓段61~90地號,20310.0,,一般農業區,養殖用地,1090429,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7674000,378,,0.0,0,,RPQNMLRKNHPFFBQ17CA
朴子市,房地(土地+建物),嘉義縣朴子市山通路24巷1~30號,23.87,住,,,1090313,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830512,102.36999999999999,2,2,1,有,有,3300000,32236,,0.0,0,,RPUNMLKLNHPFFBQ96CA
民雄鄉,土地,大崎段931~960地號,95.23,住,,,1090417,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1218944,12800,,0.0,0,台電鐵塔用地。,RPSNMLLKNHPFFCQ86CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉三興村裕農路1~30號,110.75,住,,,1090412,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1001223,215.69,5,3,2,有,無,7800000,36163,,0.0,0,,RPPNMLNLNHPFFCQ86CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉北斗村覆鼎金1~30號,69.74,住,,,1090315,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700601,107.86,4,2,2,有,無,2500000,23178,,0.0,0,,RPSNMLNLNHPFFCQ17CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村頭橋751~780號,22.34,住,,,1090417,土地3建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821214,107.67,4,2,2,有,有,2600000,24148,,0.0,0,,RPUNMLNLNHPFFCQ37CA
大林鎮,土地,排子路段排子路小段481~510地號,1112.8,,特定農業區,農牧用地,1090411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1669200,1500,,0.0,0,,RPPNMLPLNHPFFCQ07CA
大林鎮,土地,下埤頭段下埤頭小段301~330地號,630.5,,特定農業區,農牧用地,1090504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,2696,,0.0,0,,RPTNMLSJOHPFFCQ67CA
太保市,房地(土地+建物),嘉義縣太保市安仁里太保五路91~120號,111.03,住,,,1090413,土地2建物1車位0,一層，二層，三層，四層,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960208,249.73,3,3,4,有,無,15500000,62067,,0.0,0,,RPUNMLMKNHPFFDQ27CA
水上鄉,房地(土地+建物),嘉義縣水上鄉三和村新厝仔1~30號,92.56,住,,,1090413,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0610723,62.13,4,2,2,有,無,2650000,42653,,0.0,0,含增建或未登記建物。;,RPSNMLNKNHPFFDQ17CA
