編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLNLNHPFFCQ17CA,39,107.86,住家用,鋼筋混凝土加強磚造,70年6月1日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLKLNHPFFBQ96CA,26,79.49,住家用,鋼筋混凝土造,83年5月12日,七層,一層
RPUNMLKLNHPFFBQ96CA,26,22.88,見其他登記事項,鋼筋混凝土造,83年5月12日,七層,
RPUNMLNLNHPFFCQ37CA,26,94.11,住家用,鋼筋混凝土造,82年12月14日,七層,三層
RPUNMLNLNHPFFCQ37CA,26,7.89,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPUNMLNLNHPFFCQ37CA,26,5.68,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPPNMLNLNHPFFCQ86CA,8,215.69,見其他登記事項,鋼筋混凝土造,100年12月23日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLMKNHPFFDQ27CA,13,249.73,見其他登記事項,鋼筋混凝土造,96年2月8日,四層,一層 二層 三層 四層
RPSNMLNKNHPFFDQ17CA,48,62.13,住家用,見其他登記事項,61年7月23日,一層,一層
RPSNMLMKNHPFFDQ17DA,27,78.20,住商用,鋼筋混凝土造,82年5月18日,四層,一層 二層 三層 四層
RPRNMLMKNHPFFDQ07DA,27,156.41,住商用,鋼筋混凝土造,82年5月18日,四層,一層 二層 三層 四層
RPTNMLLJOHPFFDQ07CA,41,89.74,住家用,鋼筋混凝土加強磚造,68年7月1日,二層,一層 二層
RPSOMLNJOHPFFDQ27CA,,228.94,見其他登記事項,鋼筋混凝土造,109年3月6日,三層,一層 二層 三層 見其他登記事項
RPPNMLOJOHPFFCQ96DA,18,100.16,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,一層
RPPNMLOJOHPFFCQ96DA,18,12.64,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,
RPPNMLOJOHPFFCQ96DA,18,33.34,停車空間,鋼筋混凝土造,91年7月25日,五層,
RPTNMLSJOHPFFDQ77CA,21,124.20,住家用,鋼筋混凝土造,87年11月24日,三層,一層 二層 三層
RPRNMLTKNHPFFCQ77EA,27,144.97,住家用,鋼筋混凝土造,81年11月27日,三層,一層 二層 三層
