編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLSKNHPFFAU77CC,45,17.00,住家用,鋼筋混凝土造,64年7月22日,二層,
RPSNMLSKNHPFFAU08DC,23,95.35,住家用,鋼筋混凝土造,86年6月27日,六層,
RPSNMLSKNHPFFAU08DC,23,58.13,共有部份,鋼筋混凝土造,86年6月27日,六層,
RPTOMLLKNHPFFAU47CC,33,241.51,住家用,鋼筋混凝土造,76年8月31日,二層,
RPROMLKLNHPFFAU27CC,25,35.17,住家用,鋼筋混凝土造,84年8月19日,十一層,
RPVOMLSKNHPFFAU48DC,2,60.52,見其他登記事項,鋼筋混凝土造,107年3月22日,五層,
RPVOMLSKNHPFFAU48DC,2,11.48,共有部份,鋼筋混凝土造,107年3月22日,五層,
RPQOMLSKNHPFFAU87CC,27,80.06,住商用,鋼筋混凝土造,82年1月9日,七層,
RPQOMLSKNHPFFAU87CC,27,8.00,共有部份,鋼筋混凝土造,82年1月9日,七層,
RPQOMLSKNHPFFAU87CC,27,9.11,共有部份,鋼筋混凝土造,82年1月9日,七層,
