編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLOKNHPFFAX47CA,1,299.14,住家用,鋼筋混凝土造,107年12月17日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLSKNHPFFAX77CA,36,81.81,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,四層
RPPNMLSKNHPFFAX77CA,36,.30,見其他登記事項,鋼筋混凝土造,73年6月29日,五層,一層
RPRNMLSKNHPFFAX08DA,48,22.12,商業用,見其他登記事項,61年8月31日,二層,一層 二層
RPPNMLPKNHPFFAX47CA,20,187.03,住家用,鋼筋混凝土造,89年8月22日,三層,一層 二層 三層
RPRNMLOKNHPFFAX57CA,,234.81,住家用,鋼筋混凝土造,109年2月7日,三層,一層 二層 三層 見其他登記事項
RPQNMLKLNHPFFAX17CA,,243.54,住家用,鋼筋混凝土造,109年3月2日,三層,一層 二層 三層
RPXNMLSKNHPFFAX58CA,25,153.77,住家用,鋼筋混凝土造,84年5月22日,三層,一層 二層 三層
RPWNMLKLNHPFFAX77CA,27,177.13,住家用,鋼筋混凝土造,82年6月19日,四層,一層 二層 三層 四層 電梯樓梯間
RPPNMLLLNHPFFAX17CA,29,82.40,住家用,鋼筋混凝土加強磚造,79年12月1日,二層,一層 二層
RPWNMLTKNHPFFAX58CA,14,244.56,住家用,鋼筋混凝土造,95年9月26日,三層,一層 二層 三層 見其他登記事項
RPTNMLSKNHPFFAX18CA,51,51.12,住家用,鋼筋混凝土加強空心磚造,57年10月1日,二層,一層 二層
